SNo,Date,StartupName,IndustryVertical,SubVertical,InvestmentType,New,AmountInUSD
130,8/5/2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,Seed Funding,1000,"1,000,000"
131,8/5/2017,Ace Turtle,Technology,Omni-Channel Platform,Private Equity,5000,"5,000,000"
132,8/5/2017,CureFit,Technology,Health-Tech Platform,Private Equity,3000,"3,000,000"
133,9/5/2017,Curie Labs,Technology,Energy Analytics startup,Seed Funding,50,"50,000"
138,10/5/2017,Vidooly,Consumer Internet,Video Intelligence platform,Private Equity,1400,"1,400,000"
139,10/5/2017,Shopclues,eCommerce,Online marketplace,Private Equity,7700,"7,700,000"
140,10/5/2017,Fourth Ambit,Consumer Internet,Community Building platform,Seed Funding,600,"600,000"
142,11/5/2017,Early Salary,Consumer Internet,Online lending platform,Private Equity,4000,"4,000,000"
145,12/5/2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,Private Equity,5000,"5,000,000"
147,12/5/2017,Remit Guru,Consumer Internet,Digital money transfer platform,Private Equity,466,"466,000"
148,12/5/2017,Aequm,eCommerce,Cloud ECommerce platform,Seed Funding,1000,"1,000,000"
149,15/05/2017,Zapty,Technology,Project Management tool,Seed Funding,500,"500,000"
152,16/05/2017,Telr,Technology,Online Payment Gateway,Private Equity,3000,"3,000,000"
153,16/05/2017,Fynd,eCommerce,Fashion ECommerce Portal,Private Equity,500,"500,000"
154,17/05/2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Seed Funding,250,"250,000"
155,17/05/2017,Paysense,Consumer Internet,Online Lending platform,Private Equity,5300,"5,300,000"
156,18/05/2017,The Good Life,ECommerce,Online Luxury Tea etailer,Seed Funding,1000,"1,000,000"
158,18/05/2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Private Equity,1400000,"1,400,000,000"
159,19/05/2017,EzCred,Consumer Internet,Consumer Lending Platform,Seed Funding,1000,"1,000,000"
162,22/05/2017,Delhivery,Logistics,ECommerce Logistics provider,Private Equity,30000,"30,000,000"
163,22/05/2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Seed Funding,500,"500,000"
165,23/05/2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Private Equity,6600,"6,600,000"
167,23/05/2017,Box8,Consumer Internet,Food Delivery Platform,Private Equity,1000,"1,000,000"
168,24/05/2017,GenNext Students,Consumer Internet,Online Tutoring Services,Seed Funding,580,"580,000"
169,25/05/2017,Aye Finance,Finance,Non-Banking Financial Company,Private Equity,8000,"8,000,000"
174,29/05/2017,Collateral Medical,eCommerce,Online Medical equipment supplier,Private Equity,3500,"3,500,000"
177,30/05/2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Private Equity,1500,"1,500,000"
178,30/05/2017,Swiggy,Consumer Internet,Online food delivery platform,Private Equity,80000,"80,000,000"
179,31/05/2017,SastaSundar,eCommerce,Online Pharmacy,Private Equity,5000,"5,000,000"
180,31/05/2017,Magicpin,Consumer Internet,Hyperlocal Discovery  & Rewards platform,Private Equity,7000,"7,000,000"
181,1/4/2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Private Equity,3800,"3,800,000"
182,3/4/2017,Eruditus,Education,Executive Education Provider,Private Equity,8200,"8,200,000"
184,3/4/2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Private Equity,40000,"40,000,000"
187,4/4/2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Private Equity,2700,"2,700,000"
188,4/4/2017,Perfios,Technology,Fin-Tech Solutions,Private Equity,6100,"6,100,000"
189,4/4/2017,Whatfix,Technology,Interactive Tech-Support Guides,Private Equity,3690,"3,690,000"
190,4/4/2017,ElastiRun,Technology,App based Logistics & Distribution platform,Private Equity,7000,"7,000,000"
191,4/4/2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Seed Funding,500,"500,000"
192,4/4/2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,Seed Funding,500,"500,000"
194,5/4/2017,Fingerlix,Consumer Internet,Food Delivery Platform,Private Equity,3000,"3,000,000"
196,6/4/2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Private Equity,21000,"21,000,000"
197,6/4/2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Private Equity,5000,"5,000,000"
201,7/4/2017,PharmEasy,eCommerce,Online Pharmacy,Private Equity,18000,"18,000,000"
203,8/4/2017,FastFox,Consumer Internet,Online rental discovery platform,Private Equity,4600,"4,600,000"
204,10/4/2017,Omnify,Technology,SaaS platform for SMEs,Seed Funding,150,"150,000"
205,10/4/2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Private Equity,2300,"2,300,000"
206,11/4/2017,Ninjacart,eCommerce,B2B agri-marketing platform,Private Equity,5500,"5,500,000"
207,11/4/2017,MergerWare,Technology,Software solutions for M&As,Seed Funding,100,"100,000"
209,12/4/2017,Clovia,eCommerce,Online lingerie & Sleepwear etailer,Private Equity,4000,"4,000,000"
210,12/4/2017,Emiza,Logistics,Third Party Logistics provider,Private Equity,4500,"4,500,000"
211,12/4/2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Private Equity,4500,"4,500,000"
212,12/4/2017,Squadrun,Technology,Software-As-a-Service Platform,Private Equity,2100,"2,100,000"
216,13/04/2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Private Equity,7700,"7,700,000"
217,14/04/2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Private Equity,260000,"260,000,000"
218,15/04/2017,Myly,Consumer Internet,Mobile App for Schools,Seed Funding,310,"310,000"
219,17/04/2017,CrediHealth,Consumer Internet,Online Medical Assistance platform,Private Equity,1500,"1,500,000"
222,17/04/2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Seed Funding,175,"175,000"
223,17/04/2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,Seed Funding,620,"620,000"
225,17/04/2017,LendingKart,Consumer Internet,Lending platform for small businesses,Private Equity,4650,"4,650,000"
226,18/04/2017,Innefu Security Consulting,Technology,Cyber Security solutions using AI,Private Equity,2000,"2,000,000"
227,18/04/2017,Whodat,Technology,Markerless AR platform,Private Equity,600,"600,000"
228,18/04/2017,Absentia VR,Technology,Virtual Reality Startup,Private Equity,1250,"1,250,000"
229,19/04/2017,IOTrek,Technology,IoT Platform for Bus,Seed Funding,155,"155,000"
230,20/04/2017,HolaChef,Consumer Internet,Online Food Delivery,Private Equity,3000,"3,000,000"
232,21/04/2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Seed Funding,1000,"1,000,000"
